State.Abbr,State,Num,State.Equiv,Beitritt,Capitol,Population,Foreigner,Unemployment,Area.Sq.Km,Density,Villages,Languages
ZH,Zürich,1,1,1351,Zürich,1'446'354,"26,1","3,9",1'729,837,169,Deutsch
BE,Bern,2,1,1353,Bern,1'009'418,"15,4","2,9",5'959,169,356,"Deutsch, Franz_sisch"
LU,Luzern,3,1,1332,Luzern,394'604,"17,8","2,3",1'493,264,83,Deutsch
UR,Uri,4,1,1291,Altdorf,36'008,"11,6","1,2",1'077,33,20,Deutsch
SZ,Schwyz,5,1,1291,Schwyz,152'759,"20,1","1,9",908,168,30,Deutsch
OW,Obwalden,6,_,1291,Sarnen,36'834,"14,3","1,1",491,75,7,Deutsch
NW,Nidwalden,7,_,1291,Stans,42'080,"13,9","1,4",276,152,11,Deutsch
GL,Glarus,8,1,1352,Glarus,39'794,"23,1","2,6",685,58,3,Deutsch
ZG,Zug,9,1,1352,Zug,120'089,"27,0","2,6",239,502,11,Deutsch
FR,Freiburg,10,1,1481,Freiburg,303'377,"21,8","3,5",1'671,182,163,"Franz_sisch, Deutsch"
SO,Solothurn,11,1,1481,Solothurn,263'719,"21,4","3,2",791,333,109,Deutsch
BS,Basel-Stadt,12,_,1501,Basel,196'668,"35,2","4,0",37,5315,3,Deutsch
BL,Basel-Landschaft,13,_,1501,Liestal,281'301,"21,7","3,1",518,543,86,Deutsch
SH,Schaffhausen,14,1,1501,Schaffhausen,79'417,"25,4","3,6",298,267,26,Deutsch
AR,Appenzell Ausserrhoden,15,_,1513,"Herisau, Trogen5",54'064,"15,7","2,0",243,222,20,Deutsch
AI,Appenzell Innerrhoden,16,_,1513,Appenzell,15'854,"10,8","1,0",173,92,6,Deutsch
SG,St. Gallen,17,1,1803,St. Gallen,495'824,"23,5","2,7",2'026,245,77,Deutsch
GR,Graubünden,18,1,1803,Chur,195'886,"18,2","2,1",7'105,28,125,"Deutsch, R_toromanisch, Italienisch"
AG,Aargau,19,1,1803,Aarau,644'830,"24,2","3,4",1'404,459,213,Deutsch
TG,Thurgau,20,1,1803,Frauenfeld,263'733,"24,2","2,9",991,266,80,Deutsch
TI,Tessin,21,1,1803,Bellinzona,350'363,"27,8","4,2",2'812,125,135,Italienisch
VD,Waadt,22,1,1803,Lausanne,761'446,"33,4","5,2",3'212,237,318,Franz_sisch
VS,Wallis,23,1,1815,Sitten,331'763,"23,1","5,8",5'224,64,134,"Franz_sisch, Deutsch"
NE,Neuenburg,24,1,1815,Neuenburg,177'327,"25,5","6,1",803,221,37,Franz_sisch
GE,Genf,25,1,1815,Genf,477'385,"41,1","5,7",282,1693,45,Franz_sisch
JU,Jura,26,1,1979,Delsberg,72'410,"14,3","4,6",838,86,57,Franz_sisch
