State,Rank,Area.Sq.Mi,Area.Sq.Km,Rank.Land,Land.Area.Sq.Km,Rank.Water,Water.Area.Sq.Km
 Alaska,1,"665,384.04","1,723,337",1,"1,477,953",1,"245,384"
 Texas,2,"268,596.46","695,662",2,"676,587",8,"19,075"
 California,3,"163,694.74","423,967",3,"403,466",6,"20,501"
 Montana,4,"147,039.71","380,831",4,"376,962",26,"3,869"
 New Mexico,5,"121,590.30","314,917",5,"314,161",49,757
 Arizona,6,"113,990.30","295,234",6,"294,207",48,"1,026"
 Nevada,7,"110,571.82","286,380",7,"284,332",36,"2,048"
 Colorado,8,"104,093.67","269,601",8,"268,431",44,"1,170"
 Oregon,9,"98,378.54","254,799",10,"248,608",20,"6,191"
 Wyoming,10,"97,813.01","253,335",9,"251,470",37,"1,864"
 Michigan,11,"96,713.51","250,487",22,"146,435",2,"104,052"
 Minnesota,12,"86,935.83","225,163",14,"206,232",9,"18,930"
 Utah,13,"84,896.88","219,882",12,"212,818",17,"7,064"
 Idaho,14,"83,568.95","216,443",11,"214,045",33,"2,398"
 Kansas,15,"82,278.36","213,100",13,"211,754",42,"1,346"
 Nebraska,16,"77,347.81","200,330",15,"198,974",41,"1,356"
 South Dakota,17,"77,115.68","199,729",16,"196,350",29,"3,379"
 Washington,18,"71,297.95","184,661",20,"172,119",11,"12,542"
  North Dakota,19,"70,698.32","183,108",17,"178,711",24,"4,397"
 Oklahoma,20,"69,898.87","181,037",19,"177,660",30,"3,377"
 Missouri,21,"69,706.99","180,540",18,"178,040",32,"2,501"
 Florida,22,"65,757.70","170,312",26,"138,887",3,"31,424"
 Wisconsin,23,"65,496.38","169,635",25,"140,268",4,"29,367"
 Georgia,24,"59,425.15","153,910",21,"148,959",22,"4,951"
 Illinois,25,"57,913.55","149,995",24,"143,793",19,"6,202"
 Iowa,26,"56,272.81","145,746",23,"144,669",45,"1,077"
 New York,27,"54,554.98","141,297",30,"122,057",7,"19,240"
 North Carolina,28,"53,819.16","139,391",29,"125,920",10,"13,471"
 Arkansas,29,"53,178.55","137,732",27,"134,771",31,"2,961"
 Alabama,30,"52,420.07","135,767",28,"131,171",23,"4,597"
 Louisiana,31,"52,378.13","135,659",33,"111,898",5,"23,761"
 Mississippi,32,"48,431.78","125,438",31,"121,531",25,"3,907"
 Pennsylvania,33,"46,054.35","119,280",32,"115,883",28,"3,397"
 Ohio,34,"44,825.58","116,098",35,"105,829",14,"10,269"
 Virginia,35,"42,774.93","110,787",36,"102,279",15,"8,508"
 Tennessee,36,"42,144.25","109,153",34,"106,798",35,"2,355"
 Kentucky,37,"40,407.80","104,656",37,"102,269",34,"2,387"
 Indiana,38,"36,419.55","94,326",38,"92,789",39,"1,537"
 Maine,39,"35,379.74","91,633",39,"79,883",12,"11,750"
 South Carolina,40,"32,020.49","82,933",40,"77,857",21,"5,076"
 West Virginia,41,"24,230.04","62,756",41,"62,259",50,497
 Maryland,42,"12,405.93","32,131",42,"25,142",18,"6,990"
 Hawaii,43,"10,931.72","28,313",47,"16,635",13,"11,678"
 Massachusetts,44,"10,554.39","27,336",45,"20,202",16,"7,134"
 Vermont,45,"9,616.36","24,906",43,"23,871",46,"1,035"
 New Hampshire,46,"9,349.16","24,214",44,"23,187",47,"1,027"
 New Jersey,47,"8,722.58","22,591",46,"19,047",27,"3,544"
 Connecticut,48,"5,543.41","14,357",48,"12,542",38,"1,816"
 Delaware,49,"2,488.72","6,446",49,"5,047",40,"1,399"
 Rhode Island,50,"1,544.89","4,001",50,"2,678",43,"1,324"
