"","country.name","population","area","fertility","urban","migrants"
"1","China",1420062022,9388211,1.6,60,-324919
"2","India",1368737513,2973190,2.3,34,-490000
"3","United States",329093110,9147420,1.9,84,9e+05
"4","Indonesia",269536482,1811570,2.3,56,-165000
"5","Brazil",212392717,8358140,1.7,86,6000
"6","Pakistan",204596442,770880,3.4,40,-214356
"7","Nigeria",200962417,910770,5.4,52,-60000
"8","Bangladesh",168065920,130170,2.1,37,-470000
"9","Russia",143895551,16376870,1.8,73,160000
"10","Mexico",132328035,1943950,2.1,79,-60000
"11","Japan",126854745,364555,1.5,94,50000
"12","Ethiopia",110135635,1e+06,4,21,-12000
"13","Philippines",108106310,298170,2.9,44,-130000
"14","Egypt",101168745,995450,3.2,39,-55000
"15","Vietnam",97429061,310070,1.9,36,-40000
"16","DR Congo",86727573,2267050,6,41,23861
"17","Turkey",82961805,769630,2,72,305000
"18","Iran",82820766,1628550,1.6,76,-55000
"19","Germany",82438639,348560,1.5,76,370000
"20","Thailand",69306160,510890,1.5,54,19444
"21","United Kingdom",66959016,241930,1.9,81,180000
"22","France",65480710,547557,2,81,80000
"23","Tanzania",60913557,885800,4.9,33,-40000
"24","Italy",59216525,294140,1.5,72,70000
"25","South Africa",58065097,1213090,2.4,63,60000
"26","Myanmar",54336138,653290,2.2,37,-20000
"27","Kenya",52214791,569140,3.8,27,-10000
"28","South Korea",51339238,97230,1.3,82,40000
"29","Colombia",49849818,1109500,1.8,81,-29401
"30","Spain",46441049,498800,1.4,83,40000
"31","Uganda",45711874,199810,5.5,17,-30000
"32","Argentina",45101781,2736690,2.3,89,4800
"33","Ukraine",43795220,579320,1.6,70,-20000
"34","Algeria",42679018,2381740,2.6,74,-10000
"35","Sudan",42514094,1765048,4.4,36,-50000
"36","Iraq",40412299,434320,4.3,69,7834
"37","Poland",38028278,306230,1.3,61,-10000
"38","Canada",37279811,9093510,1.6,83,220000
"39","Afghanistan",37209007,652860,4.4,27,-60000
"40","Morocco",36635156,446300,2.4,60,-51419
"41","Saudi Arabia",34140662,2149690,2.5,78,118000
"42","Peru",32933835,1280000,2.4,79,-35908
"43","Uzbekistan",32807368,425400,2.2,35,-8863
"44","Venezuela",32779868,882050,2.3,90,-12099
"45","Malaysia",32454455,328550,2,77,50000
"46","Angola",31787566,1246700,5.6,38,0
"47","Mozambique",31408823,786380,5.1,32,-5000
"48","Ghana",30096970,227540,3.9,55,-20000
"49","Nepal",29942018,143350,2.1,20,-70000
"50","Yemen",29579986,527970,3.8,35,-30000
"51","Madagascar",26969642,581795,4.1,38,-1500
"52","North Korea",25727408,120410,1.9,61,-2031
"53","Côte d'Ivoire",25531083,318000,4.8,52,6000
"54","Cameroon",25312993,472710,4.6,58,-4800
"55","Australia",25088636,7682300,1.8,90,169993
"56","Taiwan",23758247,35410,1.2,78,30000
"57","Niger",23176691,1266700,7.2,19,-5699
"58","Sri Lanka",21018859,62710,2,20,-90000
"59","Burkina Faso",20321560,273600,5.2,33,-25000
"60","Malawi",19718743,94280,4.5,17,-12000
"61","Mali",19689140,1220190,5.9,40,-40000
