"","Country","Population (2014)","1 Year Change (%)","Population Change","Migrants (net)","Median Age","Aged 60+","Fertility Rate","Area (km2)","Density (p/km2)","Urban Pop (%)","Urban Population","Share of World Population"
"3","India",1267401849,1.22,15262253,-483402,26.6,9,2.53,3287265,386,32,410404773,17.5
"6","China",1393783836,0.59,8217299,-313996,35.7,14,1.66,9596947,145,54,756300115,19.24
"9","Nigeria",178516904,2.82,4901559,-60000,17.8,4,6.01,923766,193,51,91834051,2.46
"12","Pakistan",185132926,1.64,2990332,-334980,22.8,7,3.3,796096,233,37,68888535,2.56
"15","Indonesia",252812245,1.18,2946614,-141488,28.1,8,2.38,1904567,133,53,133860626,3.49
"18","U.S.A.",322583006,0.79,2532290,1008835,37.5,20,1.99,9629056,34,83,268084524,4.45
"21","Ethiopia",96506031,2.56,2405275,-11577,18.4,5,4.72,1104302,87,18,17172948,1.33
"24","Bangladesh",158512570,1.22,1917608,-456443,25.4,7,2.24,143998,1101,30,47334620,2.19
"27","Congo",69360118,2.73,1846441,-11941,17.4,5,6.08,2344832,30,36,24912419,0.96
"30","Philippines",100096496,1.73,1702922,-156793,23.2,7,3.11,3e+05,334,50,49643960,1.38
"33","Brazil",202033670,0.83,1671745,-46113,30.7,12,1.83,8514209,24,85,172549088,2.79
"36","Tanzania",50757459,3.05,1504333,-34461,17.5,5,5.31,945081,54,28,14271377,0.7
"39","Mexico",123799215,1.2,1466816,-267202,27.3,10,2.23,1958198,63,79,97734761,1.71
"42","Egypt",83386739,1.62,1330361,-47438,25.5,9,2.82,1001450,83,44,36713659,1.15
"45","Uganda",38844624,3.37,1265748,-29374,15.8,4,6,241037,161,17,6533597,0.54
"48","Kenya",45545980,2.69,1192289,-13051,18.9,4,4.49,580366,78,25,11482050,0.63
"51","Iran",78470222,1.32,1023054,-67715,29,8,1.92,1648188,48,70,54547946,1.08
"54","Iraq",34768761,2.97,1003529,-90291,19.9,5,4.12,438319,79,66,23088950,0.48
"57","Turkey",75837020,1.21,904379,-47433,29.8,11,2.07,783562,97,74,56235478,1.05
"60","Vietnam",92547959,0.95,868226,-53768,30.3,10,1.78,331689,279,33,30482811,1.28
"63","Sudan",38764090,2.11,799784,-145645,19.3,5,4.53,1861510,21,34,13058626,0.54
"66","Afghanistan",31280518,2.39,728844,-90458,16.8,4,5.24,652085,48,24,7652414,0.43
"69","Algeria",39928947,1.84,720753,-9960,27.2,8,2.8,2381685,17,75,30093970,0.55
"72","Niger",18534802,3.95,703532,-5699,15,4,7.58,1266990,15,19,3450914,0.26
"75","Angola",22137261,3.1,665643,13709,16.3,4,6.02,1246678,18,61,13595362,0.31
"78","Madagascar",23571962,2.82,647111,-1000,18.6,5,4.57,587039,40,34,8122672,0.33
"81","Mozambique",26472977,2.47,639225,-4782,17.3,5,5.29,801580,33,32,8467165,0.37
"84","Colombia",48929706,1.26,608301,-24000,28,10,2.33,1138907,43,76,37240023,0.68
"87","Cameroon",22818632,2.54,564673,-10696,18.4,5,4.89,475438,48,54,12274491,0.32
"90","Yemen",24968508,2.3,561127,-27000,19.4,5,4.29,527965,47,34,8502413,0.34
